Bezirk Steglitz-Zehlendorf: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017-2018-2019,,,,,,,
,,,,,,,
lfd. Nr.,Liegenschaft,Adresse,PLZ,Art der Wärme-versorgung,Wärmeverbrauch witterungsbereinigt [kWh],Stromverbrauch [kWh],Bemerkungen
,,,,,2018,2018,
1,Helene-Lange-Gesamtschule - ehem. Frh. von Hünefeld-GS,Lauenburgerstr.114,12169,Fernwärme,,36.579,Wärmeversorgung aus Nr. 20
2,Sachsenwald - Grundschule,Sachsenwaldstr. 20 - 21,12157,Fernwärme,562.927,67.066,
3,Dunant- Grundschule,Gritznerstr.19 - 23,12163,Fernwärme,832.097,0,Stromversorgung aus Nr. 31
4,Grundschule am Insulaner,Hanstedter Weg 11,12169,Fernwärme,659.452,72.3,
5,Athene - Grundschule,Curtiusstr. 37 - 41,12205,Fernwärme,683.517,182.87,versorgt mit Strom externe Kita
6,Alt Lankwitzer Grundschule,Schulstr.17-27,12247,Gas,585.42,48.222,
7,Paul Schneider Grundschule,Seydlitzstr. 30 - 40,12249,Gas,1.170.800,180.968,
8,Giesensdorfer  - Grundschule,Ostpreußendamm 63,12207,Gas,583.303,84.968,
9,Kronach - Grundschule,Moltkestr. 24-26,12203,Gas,1.073.480,157.511,
10,Grundschule unter den Kastanien,Kastanienstraße 7,12209,Gas,857.223,95.136,
11,Clemens-Brentano Grundschule,Kommandantenstr. 83-84,12205,Fernwärme,497.134,45.055,
12,Käthe Kruse Grundschule,Tietzenweg. 108,12203,Gas,478.872,61.636,
13,Grundschule am Königsgraben,Gallwitzallee 136 - 144,12249,Gas,782.895,83.725,
14,Ludwig-Bechstein-Grundschule,"Halbauer Weg, 25",12249,Gas,574.171,57.791,
15,Grundschule am Karpfenteich,Hildburghauserstr. 135-145,12209,Gas,410.574,77.263,
16,Mercator Grundschule,Mercatorweg 8 -10,12207,Fernwärme,691.542,46.622,
17,Grundschule an der Bäke,Haydnstr.11-15,12203,Fernwärme,646.874,124.952,
18,Johann-Thienemann Oberschule & Markus-Grundschule,Karl-Stieler Str. 10,12167,Fernwärme,443.762,47.96,
19,Nikolaus-Augustus-Otto Oberschule,Tietzenweg 101-113,12203,Gas,595.109,127.448,
