Adresse,Namer der Einrichtung,plz,Wärmemedium,2020 Wärme,2020 Strom
Rudi-Arndt-Str. 18,Tesla-Schule,10407,Fernwärme,"140,525","17,880"
Rudi-Arndt-Str. 18,Tesla-Schule,10407,Fernwärme,"644,711","57,750"
Saarbrücker Str.  23,Jugendfreizeit,10407,Gas,"44,359","30,100"
Scherenbergstr. 7,Carl-Humann-Grundschule,10439,Fernwärme,"546,189","111,250"
Schönhauser Allee 165,Grundschule am Senefelderplatz,10435,Gas,"1,467,197","149,277"
Schulstr. 29,Volkshochschule,13187,Fernwärme,"222,077",-
Schwedter Str. 90,"Kinderbauernhof, Spielhaus",10437,Gas,"41,116","2,149"
Senefelderstr. 6,Grundschule im Eliashof,10437,Gas,"839,628","4,323"
Sigridstr. 3,Vereinsunterkunft (Weinfeld),10407,,-,"1,066"
Smetanastr. 27-29,Picasso-Grundschule,13088,Gas,"530,089","24,850"
Sonnenburger Str. 69,Jugendmedienclub,10437,Gas,"23,155",-
Stiftsweg 3,Mendel-Grundschule,13187,Wärmepumpe,"2,774","12,498"
Stiftsweg 3,Mendel-Grundschule,13187,,"705,479",-
Storkower Str. 139 e,Grundstück/Fuhrpark,10407,,-,747
Straße 18 Nr. 37,SpA,13156,Gas,"62,119","6,526"
Straße vor Schönholz 20,JVS,13158,Gas,"45,860","7,792"
Sulzfelder Str.  15,Georg-Zacharias-Grundschule,13158,Fernwärme,"408,511","50,050"
Syringenplatz  30,Grundschule im Blumenviertel,13088,Fernwärme,"372,007","79,100"
Templiner Str. 1,Schule am Teutoburger Platz,10119,Gas,"387,362","114,094"
Thomas-Mann-Str. 37,Bürgerzentrum,10409,,-,"5,100"
Thomas-Mann-Str. 63-66,Hort,10409,Fernwärme,"215,925","21,201"
Tino-Schwierzina-Str. 66,Grundschule am Wasserturm,13089,Wärmepumpe,"8,788","13,940"
Tino-Schwierzina-Str. 66,Grundschule am Wasserturm,13089,Gas,"392,539","53,350"
Tollerstr. 31,Nachbarschaftszentrum,13158,Fernwärme,"110,232","9,400"
Trarbacher Str. 22,Jugendfreizeit,13158,Gas,-,2
Uhlandstr. 54-56,"Friedhof, Revier-/ Gärtnerstützpunkt",13158,Flüssiggas,"24,416","2,350"
Upsalaer Str. 6,JFE und Kita,13189,Fernwärme,"215,266","23,918"
Wackenbergstr.19,Revier- /Gärtnerstützpunkt,13156,Gas,"44,849","12,628"
Waldsteg 62,SpA,13158,,-,"25,635"
Waldsteg 8000,Brunnen,13158,,-,"3,441"
Walter-Friedrich-Str. 16,Hufeland-Schule,13125,,-,"28,984"
Walter-Friedrich-Str. 18,Hufeland-Schule,13125,Fernwärme,"1,029,020","81,909"
Wasserkräuterweg 37 y,Wegbeleuchtung Kolonie Einigkeit,13158,,-,"7,363"
Wasserkräuterweg 87 y,Wegbeleuchtung Kolonie Einigkeit,13158,,-,"6,322"
Wichertstr. 24,"Kita, fr. Tr.",10439,,"217,876","35,990"
Wiesenwinkel 17,"Kita, fr. Tr.",13158,,"157,985",-
Wilhelm-Kuhr-Str.,bauliche Anlage Plansche,13187,,-,"32,722"
Wilhelm-Kuhr-Str. 27-29 (9),Revier- /Gärtnerstützpunkt,13187,,-,"3,358"
Wilhelm-Wolff-Str. 19,Grundschule an den Buchen,13156,Fernwärme,"268,904","62,000"
Wiltbergstr. 27,JFE,13125,Gas,"73,696","20,210"
Wiltbergstr. 37-39,Grundschule Am Sandhaus,13125,Fernwärme,"502,417","82,000"
Wiltbergstraße 90,Sporthalle,13125,Fernwärme,"167,677","55,300"
Winsstr. 49,Jugendfreizeit,10409,Gas,"289,699","27,350"
Woelckpromenade 11,Primo-Levi-Gymnasium,13086,Gas,"185,718","54,600"
Woelckpromenade 38,Primo-Levi-Gymnasium,13086,Gas,"568,471","68,750"
Wolfgang-Heinz-Str. 45,"Buch IV, Hauptgebäude",13125,Fernwärme,"40,924","11,145"
Wollankstr. 131,Arnold-Zweig-Grundschule,13187,Fernwärme,"857,438","90,350"
Zionskirchstr. 73 y,Platzhaus Teuteburger Platz,10119,Gas,"11,334","1,953"
Anzahl der Abnahmeeinrichtungen,234,10407,Gesamtverbrauch in MWh/a,"66,327,367","10,013,728"
