Adresse,Namer der Einrichtung,PLZ,Wärmemedium,2019 Wärme,2019 Strom,2019 Gesamt,Kommentar
Achillesstr. 14,Jugendfreizeit,13125,Fernwärme,"130,807","38,200","169,007",
Achillesstr. 31,Grundschule im Panketal,13125,Fernwärme,"924,890","99,478","1,024,368",
Achillesstr. 77-79,Robert-Havemann-Schule,13125,Fernwärme,"1,923,535","513,241","2,436,776",Versorgung mehrerer Gebäude
Alt-Blankenburg 26,Grundschule unter den Bäumen,13129,Gas,"594,890","78,250","673,140",Versorgung mehrerer Gebäude
Am Bürgerpark 24,"Verwaltungsgebäude/Blumenhalle/
Feierhalle/Garagen",13156,ÖL,"158,484",-,"158,484",Strom wird nachgereicht
Am Schloßpark 20,"Musikschule, Hauptgebäude",13187,Gas,"164,848",688,"165,536",
Amalienstr. 1,"Kita, fr. Tr.",13086,Gas,"127,785","37,880","165,665",Freier Träger
Amalienstr. 6-8,Grundschule am Weißen See,13086,Gas,"603,957","27,550","631,507",Versorgung mehrerer Gebäude
Amalienstr. 8,Standesamt,13086,Gas,-,"8,755","8,755",Wärmeversorgung über Amalienstr 6
Anton-Saefkow-Str. 33,Revier- /Gärtnerstützpunkt,10407,Gas,"31,960","8,755","40,715",Versorgung mehrerer Gebäude
Anton-Saefkow-Str. 8000,Brunnen Greifswalder Straße/Anton- Saefkow-Straße (Knabe mit Fisch),10407,,-,"3,989","3,989",Brunnen
Arnouxstr. 18,Schule am Birkenhof,13127,Fernwärme,"688,967","138,741","827,708","Versorgung mehrerer Gebäude (inkl.
Chemiegas)"
Bahnhofstr. 30 ,Wegebeleuchtung Grünanlage,13129,,-,"12,919","12,919",
Bahnhofstr. 32,Grundschule Alt-Karow,13129,Gas,"684,464","67,860","752,324",Versorgung mehrerer Gebäude
Bahnhofstr. 95,MUR,13129,Strom,-,"34,604","34,604",SGA wird über Strom beheizt?!
Bedeweg 1,Grundschule am Hohen Feld,13125,Fernwärme,,,ü. anderes OB,Versorgung über Achilles Str 77/79
Belforter Str. 8000,"Wasserturm Belforter Straße
(Großer Wasserspeicher)",10405,,-,550,550,Brunnen
Berliner Allee 100,Dienstgebäude,13088,Gas,"529,268","39,101","568,369",
Berliner Allee 252-260,Dienstgebäude,13088,Fernwärme,"979,273","303,326","1,282,599",Versorgung mehrerer Gebäude
Binzstr. 61c,Sportfunktionsgebäude,13189,Fernwärme,"113,448","10,225","123,673",
Bizetstr. 27,Weiterbildung/Musikschule,13189,Fernwärme,"82,572","4,279","86,851",Wärmeversorgung offen
Blankenfelder Str. 106,Spielhaus,13127,Fernwärme,"14,564","5,217","19,781",
Blankenfelder Str. 50,Jugendfreizeit,13127,Fernwärme,"75,126","10,390","85,516",
