level_0,index,facility,plz,heat_supply,heat_consumption,power_consumption,district,year,facility_type,District_Overview,Heat_Consumption_per_District,Year_Overview,Facility_Type_Overview,District_Detail,Power_Consumption_District_Facility_Type_Year,District_Results,Power_Consumption_per_District,Facility_type_Overview,power_consumption,Facility_Type_Results,Heat_Consumption_per_Facility_Type
694,694,BDG Groß-Berliner-Damm,12489,Fernwärme,171299,75200,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
695,695,BDG Hans-Schmidt-Str. 10,12489,Fernwärme,205568,84540,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
696,696,BDG Hans-Schmidt-Str. 16,12489,Fernwärme,288080,60700,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
697,697,BDG Hans-Schmidt-Str. 18,12489,Fernwärme,284649,66000,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
698,698,BDG Hasselwerder Straße,12439,Fernwärme,63290,8990,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
699,699,BDG Michael-Brückner-Straße,12439,Erdgas,145092,24964,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
700,700,BDG Myliusgarten,12587,Fernwärme,166983,20888,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
701,701,BDG Oberspreestraße,12555,Erdgas,30531,2716,Treptow - Kopernick,2018,Platz,,,,,,,,,,,,
702,702,BDG Rinkartstraße,12437,Erdgas,456319,71508,Treptow - Kopernick,2018,Platz,,,,,,,,,,,,
703,703,BDG Salvador-Allende-Straße,12559,Fernwärme,206424,65200,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
704,704,BDG und Musikschule,12489,Fernwärme,116688,52770,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
705,705,"Begegnungszentrum ""Gerard Philipe""",12435,Fernwärme,92247,46980,Treptow - Kopernick,2018,Kultur,,,,,,,,,,,,
706,706,Bibliothek Friedrichshagen,12587,Fernwärme,93267,12088,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
707,707,Bootshaus Müggelseedamm 74,12587,Erdgas,292913,39457,Treptow - Kopernick,2018,Kultur,,,,,,,,,,,,
708,708,Bouché-Schule,12435,Fernwärme,584363,75850,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
709,709,Bouché-Schule,12435,Fernwärme,322511,11965,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
710,710,Dorfclub Müggelheim,12559,Erdgas,54210,5284,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
711,711,Edison-Schule,12459,Fernwärme,511521,79724,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
712,712,ehem. BDG / Mischnutzung,12526,Erdgas,1450603,51820,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
713,713,ehem. Kita / Lagernutzung,12589,Erdgas,6342,1695,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
714,714,ehem. Musikschule / Lagernutzung,12555,Erdgas,168316,2001,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
715,715,ehem.Schule / Verwaltungsgebäude,12435,Nahwärme,314590,48760,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
716,716,Emmy-Noether-Gymnasium,12555,Fernwärme,181304,7891,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
717,717,Emmy-Noether-Gymnasium,12559,Fernwärme,727838,173305,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
718,718,Familienbegegnungszentrum Altglienicke,12524,Erdgas,120461,9054,Treptow - Kopernick,2018,Kultur,,,,,,,,,,,,
719,719,Flachbau / Nutzung Tiertafel,12437,Erdgas,80448,8683,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
720,720,Freilandlabor Kaniswall,15537,Flüssiggas,88020,10555,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
721,721,Friedhof Adlershof,12489,Erdgas,23296,679,Treptow - Kopernick,2018,Denkmal,,,,,,,,,,,,
722,722,Friedhof Altglienicke,12524,Erdgas,157362,3671,Treptow - Kopernick,2018,Denkmal,,,,,,,,,,,,
723,723,Friedhof Baumschulenweg,12437,Erdgas,175479,13909,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
724,724,Friedhof Grünau,12527,Erdgas,58343,8753,Treptow - Kopernick,2018,Denkmal,,,,,,,,,,,,
725,725,Friedhof Müggelheim,12559,Heizöl,63885,2010,Treptow - Kopernick,2018,Denkmal,,,,,,,,,,,,
726,726,Friedhof Oberschöneweide,12459,Erdgas,177161,9387,Treptow - Kopernick,2018,Denkmal,,,,,,,,,,,,
727,727,Friedhof Rahnsdorf,12589,Erdgas,67983,4278,Treptow - Kopernick,2018,Denkmal,,,,,,,,,,,,
728,728,Friedrichshagener Schule,12587,Fernwärme,82693,5000,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
729,729,Friedrichshagener Schule,12587,Fernwärme,533550,70382,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
730,730,Fritz-Kühn-Schule,12526,Erdgas,794227,114536,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
731,731,Fuhrpark,12459,Nahwärme,149995,18699,Treptow - Kopernick,2018,Platz,,,,,,,,,,,,
732,732,Gartenarbeitsschule,12555,Flüssiggas,9008,4980,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
733,733,Gebr.-Montgolfier-Schule,12487,Fernwärme,628800,146468,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
734,734,Gerhart-Hauptmann-Schule,12587,Fernwärme,936144,167702,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
735,735,Grünauer Schule,12527,Erdgas,706755,69519,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
736,736,Grünauer Schule,12527,Erdgas,401062,101400,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
737,737,Grünauer Schule,12527,Strom,55825,12668,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
738,738,Hans-Grade-Schule,12487,Fernwärme,562624,71640,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
739,739,Hauptmann-von-Köpenick-Schule,12555,Erdgas,900126,57460,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
740,740,Hauptmann-von-Köpenick-Schule,12555,Erdgas,398654,17687,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
741,741,Haus der Begegnung,12559,Erdgas,181088,15760,Treptow - Kopernick,2018,Kultur,,,,,,,,,,,,
742,742,Heide-Schule,12489,Erdgas,136445,13482,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
743,743,Heide-Schule,12489,Fernwärme,405721,80718,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
744,744,Heide-Schule,12489,Erdgas,838234,50550,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
745,745,Heimatmuseum Köpenick,12555,Erdgas,50281,13753,Treptow - Kopernick,2018,Kultur,,,,,,,,,,,,
746,746,Isaac-Newton-Schule,12459,Fernwärme,1032356,98250,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
747,747,JFE Bude,12559,Strom,17605,3995,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
748,748,JFE Hasselwerder Straße,12439,Fernwärme,166523,25684,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
749,749,JFE Würfel,12559,Fernwärme,60711,8907,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
750,750,Jugendclub WK 14,12459,Erdgas,80149,5955,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
751,751,Jugendfreizeiteinrichtung,12555,Erdgas,90880,6071,Treptow - Kopernick,2018,Platz,,,,,,,,,,,,
752,752,Jugendkunstschule,12555,Erdgas,48495,3407,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
753,753,Jugendverkehrsschule,12459,Heizöl,52945,8466,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
754,754,Jugendzentrum,12524,Erdgas,33843,1731,Treptow - Kopernick,2018,Kultur,,,,,,,,,,,,
755,755,Käthe-Tucholla-Stadion,12439,Erdgas,250301,61063,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
756,756,Kegelbahn Rudower Straße,12439,Erdgas,179455,2899,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
757,757,Kegelsportzentum,12555,Erdgas,418998,137405,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
758,758,Kiefholz-Grundschule,12435,Fernwärme,263298,29300,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
759,759,Kiezklub Köpenick und Kita,12557,Erdgas,149780,11073,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
760,760,Kulturzentrum Alte Möbelfabrik,12555,Erdgas,74282,8692,Treptow - Kopernick,2018,Kultur,,,,,,,,,,,,
761,761,Kulturzentrum Alte Schule,12489,Erdgas,356919,90250,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
762,762,Leistungszentrum Sportschießen,12524,Erdgas,269628,119796,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
763,763,Litographiewerkstatt,12435,Erdgas,26066,5621,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
764,764,Melli-Beese-Schule,12487,Fernwärme,695527,109195,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
765,765,Merian-Schule,12555,Erdgas,568759,111171,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
766,766,Merian-Schule,12555,Erdgas,861773,140417,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
767,767,Mittelpunktbibliothek Alte Feuerwache,12439,Fernwärme,180730,147675,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
768,768,Mittelpunktsbibliothek Köpenick,12555,Erdgas,375985,118316,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
769,769,Müggelheimer Schule,12559,Erdgas,869605,68546,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
770,770,Müggelschlößchen-Schule,12559,Fernwärme,485924,35662,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
771,771,Müggelschlößchen-Schule,12559,Fernwärme,330836,23890,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
772,772,Müggelsee-Schule,12587,Erdgas,331260,32261,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
773,773,Müggelsee-Schule,12587,Fernwärme,70060,9097,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
774,774,Musikschule Köpenick,12555,Erdgas,354579,30434,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
775,775,Nachbarschaftszentrum Hessenwinkel,12589,Erdgas,74310,18692,Treptow - Kopernick,2018,Kultur,,,,,,,,,,,,
776,776,Rathaus Johannisthal,12487,Fernwärme,241524,31739,Treptow - Kopernick,2018,Kultur,,,,,,,,,,,,
777,777,Rathaus Köpenick,12555,Erdgas,1517698,410486,Treptow - Kopernick,2018,Kultur,,,,,,,,,,,,
778,778,Rathaus Treptow,12435,Fernwärme,995010,173142,Treptow - Kopernick,2018,Kultur,,,,,,,,,,,,
779,779,Regattastrecke,12527,Erdgas,1419412,205413,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
780,780,Revier-/Gärtnerstützpunkt,12437,Erdgas,24967,1857,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
781,781,Revierstützpunkt I,12435,Erdgas,106006,12895,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
782,782,Revierstützpunkt I,12435,Erdgas,87311,3857,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
783,783,Revierstützpunkt II,12489,Erdgas,248853,10768,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
784,784,Revierstützpunkt II,12437,Erdgas,204483,7190,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
785,785,Revierstützpunkt III,12459,Flüssiggas,117225,894,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
786,786,Revierstützpunkt IV,12587,Erdgas,301545,31665,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
787,787,Revierstützpunkt V,12559,Fernwärme,65163,4037,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
788,788,Schmöckwitzer Insel-Schule,12527,Erdgas,638190,82900,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
789,789,Schule am Altglienicker Wasserturm,12524,Erdgas,462433,66868,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
790,790,Schule am Berg,12524,Erdgas,748809,92600,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
791,791,Schule am Berg,12524,Strom,20880,30363,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
792,792,Schule am Buntzelberg,12526,Erdgas,487997,108655,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
793,793,Schule am Ginkobaum,12487,Fernwärme,338834,96800,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
794,794,Schule am Heidekampgraben,12437,Erdgas,467533,67440,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
795,795,Schule am Mohnweg,12524,Fernwärme,795666,125101,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
796,796,Schule am Pegasuseck,12524,Fernwärme,581871,39669,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
797,797,"Schule am Wildgarten
Schule an den Püttbergen",12437,Fernwärme,582947,59692,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
798,798,Schule an der alten Feuerwache,12439,Fernwärme,671938,82553,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
799,799,Schule an der Dahme,12557,Erdgas,1154299,85749,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
800,800,Schule an der Wuhlheide,12459,Fernwärme,442539,46622,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
801,801,Schule an der Wuhlheide,12459,Fernwärme,274099,52400,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
802,802,Schule an der Wuhlheide,12459,Fernwärme,277206,44503,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
803,803,Schule in der Köllnischen Vorstadt,12557,Erdgas,624016,52600,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
804,804,Schulpsych. Dienst und Bauarchiv,12555,Fernwärme,317121,43209,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
805,805,Sonnenblumen-Schule,12437,Erdgas,127874,7729,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
806,806,Sonnenblumen-Schule,12437,Erdgas,753185,58671,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
807,807,Sophie-Brahe-Schule,12435,Fernwärme,848160,141500,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
808,808,Sophie-Brahe-Schule,12435,Fernwärme,783097,37202,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
809,809,Sozio-Kulturelles-Zentrum Ratz-Fatz,12439,Erdgas,124695,12333,Treptow - Kopernick,2018,Kultur,,,,,,,,,,,,
810,810,Sportamt / Leistungszentrum Rudern,12527,Erdgas,2022133,464436,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
811,811,"Sportanlage ""Zur Uferbahn""",12527,Heizöl,543609,60930,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
812,812,Sportanlage Fritz Lesch,12489,Erdgas,135795,18656,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
813,813,Sportanlage Köpenicker Landstraße,12437,Erdgas,253709,56136,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
814,814,Sportanlage Neue Krugallee,12437,Fernwärme,199579,28287,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
815,815,Sportanlage Sterndamm,12487,Fernwärme,51379,1440,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
816,816,Sporthalle Adlershof,12489,Fernwärme,309244,79500,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
817,817,Sporthalle Kepplerstraße,12459,Fernwärme,92551,30859,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
818,818,Sportplatz Allende-Viertel,12559,Fernwärme,172312,35360,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
819,819,Sportplatz Bruno-Bürgel-Weg,12439,Erdgas,77316,22588,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
820,820,Sportplatz Buntzelberg,12526,Erdgas,77325,27204,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
821,821,Sportplatz Eiche,12559,Erdgas,78042,4395,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
822,822,Sportplatz Friedrichshagen,12587,Heizöl,182433,38750,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
823,823,Sportplatz Hirschgartendreieck,12587,Erdgas,45465,1296,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
824,824,Sportplatz Hirtenfließ,12527,Erdgas,136768,25364,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
825,825,Sportplatz im Park Wuhlheide,12459,Nahwärme,139469,15029,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
826,826,Sportplatz Lahmertstr.,12527,Flüssiggas,25523,1800,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
827,827,Sportplatz Lohnauer Steig,12489,Erdgas,123556,24589,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
828,828,Sportplatz Müggelheim,12559,Erdgas,43100,19182,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
829,829,Sportplatz Plänterwald,12437,Strom,42981,6885,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
830,830,Sportplatz Segelfliegerdamm,12487,Fernwärme,87376,23047,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
831,831,Sportplatz Wendenschloßstraße,12557,Fernwärme,181010,47450,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
832,832,Sportstadion Wilhelm Fahle,12589,Erdgas,62276,10657,Treptow - Kopernick,2018,Sport,,,,,,,,,,,,
833,833,Stadion Altglienicke,12524,Erdgas,262759,13463,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
834,834,Strandbad Müggelsee,12589,Erdgas,333077,111006,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
835,835,Treptow Kolleg,12437,Erdgas,1235805,82062,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
836,836,Uhlenhorst-Schule,12555,Erdgas,778548,62250,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
837,837,Volkshochschule,12437,Erdgas,638104,107492,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
838,838,Wendenschloß-Schule,12557,Erdgas,702093,43664,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
839,839,Werkhof,12459,Flüssiggas,131836,1006,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
840,840,Werkstattschule,12459,Fernwärme,605000,52500,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
841,841,Wilhelm-Bölsche-Schule,12587,Fernwärme,739758,76143,Treptow - Kopernick,2018,Schule,,,,,,,,,,,,
842,842,Wirtschaftshof,12459,Erdgas,223150,8480,Treptow - Kopernick,2018,Other,,,,,,,,,,,,
843,843,Helene-Lange-Gesamtschule - ehem. Frh. von Hünefeld-GS,12169,Fernwärme,0,36579,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
844,844,Sachsenwald - Grundschule,12157,Fernwärme,562927,67066,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
845,845,Dunant- Grundschule,12163,Fernwärme,832097,0,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
846,846,Grundschule am Insulaner,12169,Fernwärme,659452,723,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
847,847,Athene - Grundschule,12205,Fernwärme,683517,18287,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
848,848,Alt Lankwitzer Grundschule,12247,Gas,58542,48222,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
849,849,Paul Schneider Grundschule,12249,Gas,1170800,180968,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
850,850,Giesensdorfer  - Grundschule,12207,Gas,583303,84968,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
851,851,Kronach - Grundschule,12203,Gas,1073480,157511,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
852,852,Grundschule unter den Kastanien,12209,Gas,857223,95136,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
853,853,Clemens-Brentano Grundschule,12205,Fernwärme,497134,45055,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
854,854,Käthe Kruse Grundschule,12203,Gas,478872,61636,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
855,855,Grundschule am Königsgraben,12249,Gas,782895,83725,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
856,856,Ludwig-Bechstein-Grundschule,12249,Gas,574171,57791,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
857,857,Grundschule am Karpfenteich,12209,Gas,410574,77263,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
858,858,Mercator Grundschule,12207,Fernwärme,691542,46622,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
859,859,Grundschule an der Bäke,12203,Fernwärme,646874,124952,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
860,860,Johann-Thienemann Oberschule & Markus-Grundschule,12167,Fernwärme,443762,4796,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
861,861,Nikolaus-Augustus-Otto Oberschule,12203,Gas,595109,127448,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
862,862,Helene-Lange-Gesamtschule - ehem. Friedrich-Bayer-OS,12169,Fernwärme,1481074,7472,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
863,863,Max von Laue Oberschule,12203,Gas,684833,65969,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
864,864,Schmidt-Ott-Oberschule,12169,Gas,34222,3365,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
865,865,Beethoven -Oberschule,12249,Gas,1420337,147274,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
866,866,Paulsen-Gymnasium,12163,Gas,706183,85903,Steglitz-Zehlendorf,2018,Sport,,,,,,,,,,,,
867,867,Hermann Ehlers Oberschule,12169,Fernwärme,1644,89832,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
868,868,Fichtenberg Oberschule & Rothenburg-Grundschule,12165,Fernwärme,1164624,138178,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
869,869,Lilienthal Oberschule,12203,Gas,837632,148914,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
870,870,Goethe Oberschule,12205,Fernwärme,70585,183525,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
871,871,Willi-Graf-Oberschule,12207,Gas,902929,148907,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
872,872,Gymnasium Steglitz,12169,Gas,668053,122527,Steglitz-Zehlendorf,2018,Sport,,,,,,,,,,,,
873,873,Kopernikus Oberschule,12163,Fernwärme,1173400,301154,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
874,874,Turnhalle der ehem. Kopernikus Oberschule,12207,Fernwärme,352347,12801,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
875,875,Bröndby Oberschule,12249,Gas,20191,375605,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
876,876,Friedrich-Drake-Grundschule,12205,Fernwärme,339371,65077,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
877,877,Paul-Braune-Schule / Beethoven-OS-Filiale,12249,Gas,1892395,90007,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
878,878,Johann-August-Zeune-Schule,12165,Fernwärme,971525,190019,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
879,879,Peter-Frankenfeld-Schule,12247,Gas,608969,136243,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
880,880,Freilandlabor - Steglitz,12207,Nachtspeicher-heizung,19399,1384,Steglitz-Zehlendorf,2018,Other,,,,,,,,,,,,
881,881,Nord-Grundschule,14163,Gas,815263,0,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
882,882,Süd-Grundschule,14165,Gas,164784,10675,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
883,883,Johannes-Tews-Grundschule,14129,Gas,314775,250662,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
884,884,Erich-Kästner-Grundschule,14195,Gas,1125973,9937,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
885,885,Conrad-Grundschule,14109,Gas,1040935,27366,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
886,886,Mühlenau-Grundschule,14195,Fernwärme,701756,95756,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
887,887,Zinnowald-Grundschule,14163,Gas,1007577,915099,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
888,888,Schweizerhof-Grundschule,14167,Gas,33486,0,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
889,889,Dreilinden-Oberschule,14109,Gas,1296866,234094,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
890,890,Dreilinden-Grundschule,14109,Gas,0,0,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
891,891,Grundschule am Buschgraben,14165,Gas,434886,68739,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
892,892,Nikolaus-August-Otto-Oberschule - Filiale,14109,Gas,379389,113731,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
893,893,Leistikow-Turnhalle,14163,Gas,221846,0,Steglitz-Zehlendorf,2018,Other,,,,,,,,,,,,
894,894,Schadow-Oberschule - ehem. Realschule,14163,Gas,584994,0,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
895,895,Gail S. Halvorsen Oberschule,14195,Gas,89701,6675,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
896,896,Schadow-Oberschule - ehem. Gymnasium,14163,Gas,43849,305487,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
897,897,Droste-Hülshoff-Oberschule,14165,Gas,1124127,159517,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
898,898,Arndt-Oberschule,14195,Gas,1122771,191732,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
899,899,Werner-von-Siemens-Oberschule,14129,Gas,1499389,511,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
900,900,Wilma-Rudolf-Gesamtschule,14167,Fernwärme,1294974,323172,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
901,901,Pestalozzi-Sonderschule,14163,Gas,397765,0,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
902,902,"Biesalski-Sonderschule, Quentin-Blake-Grundschule & Staatl. Europa-Schule",14167,Fernwärme,1465208,541963,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
903,903,John-F.-Kennedy-Schule,14167,Gas,3717808,1226029,Steglitz-Zehlendorf,2018,Schule,,,,,,,,,,,,
904,904,HORT Gallwitzallee 116,12249,Gas,110518,5983,Steglitz-Zehlendorf,2018,Other,,,,,,,,,,,,
905,905,HORT Langkofelweg 18,12247,Gas,137558,19446,Steglitz-Zehlendorf,2018,Other,,,,,,,,,,,,
906,906,HORT Murtenerstraße 10,12205,Gas,124557,13976,Steglitz-Zehlendorf,2018,Platz,,,,,,,,,,,,
907,907,HORT Treitschkestraße 28-30,12163,Gas,151965,11055,Steglitz-Zehlendorf,2018,Platz,,,,,,,,,,,,
908,908,JFH - Schottenburg / Verkehrsgarten,14167,Fernwärme,196886,30745,Steglitz-Zehlendorf,2018,Other,,,,,,,,,,,,
