Energieverbrauchsdaten der bezirklichen Abnahmestellen im Jahr 2019 - Lichtenberg,,,,,,,
(Änderungen vorbehalten),,,,,,,
Lfd.-Nr.,Einrichtung,Straße,PLZ,Wärmemedium,Wärmeverbrauch witterungsbereinigt [kWh],Stromverbrauch [kWh],Bemerkungen
61,Ausbildungsgebäude,Gotlindestr. 80,10365,Erdgas H,"76,933","3,307",
62,JFE “Leo’s Hütte”,Grevesmühlener Str. 43,13059,Fernwärme,"51,822","6,166",
63,Bürogebäude,Große-Leege-Str. 103,13055,Fernwärme,"714,705","349,385",
64,Gebäude,Gudrunstr. 7-20,10365,Erdgas H,"319,356","10,861",
65,Schule auf dem lichten Berg,Hagenstr. 26,10365,Fernwärme,"95,942","15,171",
66,Hermann-Gmeiner-Schule,Harnackstr. 17,10365,Fernwärme,"509,508","37,800",Wärmeversorgung für mehrere Gebäude - 
67,Hermann-Gmeiner-Schule,Harnackstr. 25,10365,Fernwärme,-,"40,800",Wärmeversorgung aus anderem Gebäude - 
68,Sportplatz und JFE “Napf” ,Hauffstr. 13-20,10317,Erdgas H,"103,527","37,329",
69,Schule am Grünen Grund,Herzbergstr. 79,10365,Flüssiggas,"6,284","18,895",
70,Sportfunktionsgebäude,Hohenschönhauser Str. 76,10369,Flüssiggas,"22,192","6,573",
71,Schule im Gutspark,Josef-Orlopp-Str. 20,10367,Fernwärme,"320,411","73,050",
72,Seniorenbegegnungsstätte,Judith-Auer-Straße 8,10369,-,-,"5,592",vermietet
73,Brunnen,Stadtpark Kielblockstraße,10367,-,-,330,Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
74,Sporthalle,Klützer Str. 36,13059,Fernwärme,"345,206","11,012",
75,34. Grundschule,Konrad-Wolf-Str. 11,13055,Fernwärme,"61,726","33,236",Stromversorgung für mehrere Gebäude - 
76,Sporthalle,Konrad-Wolf-Str. 11,13055,Fernwärme,"38,848",-,Stromversorgung aus anderem Gebäude - 
77,Galerie 100 und Kunstverleih Lichtenberg ,Konrad-Wolf-Str. 99,13055,-,-,"2,940",angemietet
78,Brunnen,Fennpfuhlpark Landsberger Allee,10369,-,-,"20,850",
79,Manfred-von-Ardenne-Gymnasium,Leuenberger Str. 5,13055,Fernwärme,"154,076","9,136",
80,Brodowin-Schule,Liebenwalder Str. 22,13055,Fernwärme,"523,182","73,923",
81,Brodowin-Schule,Liebenwalder Str. 22,13055,Fernwärme,"137,539","34,116",
82,Gebäude,Liepnitzstr. 33-37,10318,Erdgas H,"51,865","3,292",
83,Friedrichsfelder Schule,Lincolnstr. 67,10315,Fernwärme,"310,221","67,150",
84,Karlshorster Schule,Lisztstr. 6,10318,Fernwärme,"439,050","85,700",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
85,Karlshorster Schule,Lisztstr. 6,10318,Fernwärme,"116,921","28,584",
86,Immanuel-Kant-Gymnasium,Lückstr. 63,10317,Fernwärme,"589,464","38,750",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
87,Grüner Campus Malchow,Malchower Chaussee 2,13053,Erdgas H,"257,418","50,615",
88,Grüner Campus Malchow,Malchower Chaussee 2,13053,Strom-Mix,-,"11,164",
89,"Kita, fr. Tr.",Malchower Weg 46,13053,-,-,"21,750",vermietet
90,Paul-Schmidt-Schule,Malchower Weg 54,13053,Erdgas H,"945,371","38,154",
91,Paul-Schmidt-Schule,Malchower Weg 54,13053,Strom-Mix,-,161,
92,Jugendverkehrsschule,Malchower Weg 66,13053,Erdgas H,"45,111","2,634",
93,Alexander-Puschkin-Schule,Massower Str. 37,10315,Fernwärme,"795,994","94,750",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
94,Bürgermeister-Ziethen-Schule,Massower Str. 39,10315,Fernwärme,-,"53,250",Wärmeversorgung aus anderem Gebäude - Stromversorgung für mehrere Gebäude -  - 
95,Bürgermeister-Ziethen-Schule,Massower Str. 39,10315,Fernwärme,"60,173",-,Stromversorgung aus anderem Gebäude - 
96,Notstromtrafo,Möllendorffstr. 5,10367,-,-,"2,085",
97,Bürogebäude,Möllendorffstr. 6,10367,Fernwärme,"417,618","124,692",
98,Vereinshaus,Neustrelitzer Straße 63,13055,Fernwärme,"56,794","8,725",
99,Sportfunktionsgebäude,Neustrelitzer Str. 61,13055,Fernwärme,"51,860","15,591",
100,Schule an der Victoriastadt,Nöldnerstr. 44,10317,Fernwärme,"614,653","106,900",
101,Bürgeramt,Normannenstraße 1-2,10367,-,-,"30,868",angemietet
102,Gebäude,Oberseestr. 60,13053,Erdgas H,"65,981","3,900",
103,Brunnen,Oberseestraße 5,13053,-,-,"25,167",
104,Bürogebäude,Oberseestr. 98,13053,Erdgas H,"138,528","25,650",
105,Nils-Holgersson-Schule,Otto - Marquardt- Str. 14,10369,Fernwärme,"579,504","217,041",
106,Nils-Holgersson-Schule,Otto - Marquardt- Str. 14,10369,Fernwärme,"24,100",-,
107,Bürgeramt,Otto-Schmirgal-Str. 1-7,10319,-,-,"29,377",angemietet
108,n.n.,Paul-Junius-Str. 69,10369,Fernwärme,-,"23,310",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - Leerstand
109,Carl-von-Linné-Schule,Paul-Junius-Str. 15,10367,Fernwärme,"1,758,691","474,849",
110,Fil. Manfred-von-Ardenne-Gymnasium,Paul-Junius-Str. 25-27,10369,Fernwärme,"441,848","35,120",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
111,Sporthalle,Paul-Junius-Str. 25-27,10369,Fernwärme,"128,040",-,Stromversorgung aus anderem Gebäude - 
112,Margarete-Steffin-Volkshochschule,Paul-Junius-Str. 71,10369,Fernwärme,"473,441","83,834",
113,Gebäude,Paul-Junius-Str. 73,10369,Fernwärme,"122,757","10,294",
114,Matibi-Schule,Prendener Str. 15,13059,Fernwärme,"437,583","449,727",Stromversorgung für mehrere Gebäude - 
115,Fritz-Reuter-Schule,Prendener Str. 29,13059,Fernwärme,"1,685,437",-,Stromversorgung aus anderem Gebäude - 
116,Anna-Seghers-Bibliothek,Prerower Platz 2,13051,-,-,"129,816",angemietet
117,Randow-Schule,Randowstr. 45,13057,Fernwärme,"421,207","60,600",
118,Schule am Rathaus,Rathausstr. 8 ,10367,Fernwärme,"511,124","68,520",
119,Sporthalle,Rhinstr. 127a,10315,Fernwärme,"173,350","18,346",
120,Sporthalle,Ribnitzer Str. 1,13051,Fernwärme,"102,466","19,499",
121,Soziokulturelles Zentrum,Ribnitzer Str. 1b,13051,Fernwärme,"79,895","54,732",
122,Hort,"Roedernstr. 13, 69-72",13053,-,-,83,Leerstand
123,Obersee-Schule,Roedernstr. 69-72,13053,Erdgas H,"405,594","98,350",
124,Lew-Tolstoi-Schule,Römerweg 120,10318,Erdgas H,"834,794","88,706",
125,Hans-und-Hilde-Coppi-Schule,Römerweg 30-32,10318,Fernwärme,"1,006,536","131,239",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
126,Fil. Paul-Schmidt-Schule,Rüdickenstr. 24,13053,Fernwärme,"258,777","26,712",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
127,33. Grundschule,Rüdigerstraße 76,10365,Fernwärme,"374,695","46,050",
128,33. Grundschule,Rüdigerstraße 76,10365,Fernwärme,"75,429","12,131",
129,Sporthalle,Rudolf-Seiffert-Str. 37,10369,Fernwärme,"145,453","23,868",
130,Fil. Bernhard-Grzimek-Schule/Fil. Alexander-Puschkin-Schule,Rummelsburger Str. 21,10319,Fernwärme,"308,551","12,800",
131,Zoschke-Stadion,Ruschestr. 90,10365,Erdgas H,"128,132","28,209",
132,Schule am Wilhelmsberg,Sandinostr. 8,13051,Fernwärme,-,"99,250",Wärmeversorgung aus anderem Gebäude - 
133,Schule am Wilhelmsberg,Sandinostr. 8,13051,Fernwärme,"163,644","25,510",
134,Gutenberg-Schule,Sandinostr. 10,13051,Fernwärme,"1,353,951","152,422",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
135,Gutenberg-Schule,Sandinostr. 10 (Landsberger Allee  ),13051,Fernwärme,"129,883","19,819",
136,"Stadion ""1. Mai""",Scheffelstr. 21,10367,Erdgas H,"146,901","22,605",
137,Gebäude,Schulze-Boysen-Str. 40,10365,Fernwärme,"82,568","4,375",
138,Mildred-Harnack-Schule,Schulze-Boysen Str. 12-20,10365,Fernwärme,"512,993","85,500",
139,Mildred-Harnack-Schule,Schulze-Boysen Str. 12-20,10365,Fernwärme,"436,495","50,400",
140,Gebäude,Schwarzmeerstr. 57,10319,Erdgas H,"51,769","2,296",
141,Sporthalle,Seehausenerstr. 5,13057,Fernwärme,"206,445","23,309",
142,George-Orwell-Schule,Sewanstr. 223,10319,Fernwärme,"504,806","83,200",
143,Bernhard-Grzimek-Schule,Sewanstr. 184,10319,Fernwärme,"291,156","61,100",
144,Seniorenbegegnungsstätte,Sewanstraße 235,10319,-,-,"2,933",vermietet
145,Gebäude,Sewanstr. 43,10319,Fernwärme,"485,700","67,292",
146,Filiale Schule auf dem lichten Berg,Siegfriedstraße 208,10365,Erdgas H,"180,397","39,150",
147,BVB Stadion,Siegfriedstr. 71,10365,Erdgas H,"216,908","64,100",
148,Schule,Stolzenfelstr. 1,10318,-,-,"19,850",angemietet
149,Sportfunktionsgebäude,Storkower Str. 209 A,10369,Fernwärme,"57,577","20,929",
150,Fil. Matibi-Schule,Str. 3 Nr. 21,13059,Heizöl,"317,987","32,885",
151,Mildred-Harnack-Schule,Tasdorfer Str. 45-46,10365,Fernwärme,"133,745","18,306",
152,Gartenarbeitsschule,Trautenauerstr. 40 (19),10318,Erdgas H,"187,059","13,735",
153,Kulturhaus Karlshorst ,Treskowallee 112/ Dönhoffstr. 42,10318,-,-,"55,050",angemietet
154,Gebäude,Türrschmidtstr. 24-25,10317,Erdgas H,"169,914","23,950",
155,Seniorenbegegnungsstätte,Warnitzer Straße 6-8,13057,-,-,"4,976",vermietet
156,Sportfunktionsgebäude,"Wartenberger Str. 123, Am Breiten Luch 21",13053,Fernwärme,-,"16,800",Wärmeversorgung aus anderem Gebäude - 
157,n.n.,Wartiner Str. 6,13057,Fernwärme,-,"1,874",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
158,Feldmark-Schule,Wartiner Str. 23,13057,Fernwärme,"1,046,001","118,346",
159,Fil. Feldmark-Schule/Fil. Barnim-Schule,Wartiner Str. 47-49,13057,Fernwärme,"300,818","15,100",
160,Sportplatz,Weißenseer Weg 100,10369,-,-,595,
161,Gebäude,Weitlingstr. 11,10317,Erdgas H,"71,660","5,303",
162,Sporthalle,Welsestr. 50,13057,Fernwärme,"141,551","11,408",
163,Manfred-von-Ardenne-Gymnasium,Werneuchener Str. 27,13053,Fernwärme,"739,231","29,424",
164,Philipp-Reis-Schule,Werneuchener Str. 14,13055,Fernwärme,-,"47,100",Wärmeversorgung aus anderem Gebäude - 
165,Philipp-Reis-Schule,Goeckestr. 35,13055,Fernwärme,-,670,Wärmeversorgung aus anderem Gebäude - 
166,Philipp-Reis-Schule,Werneuchener Str. 15,13055,Fernwärme,"724,983","82,650",Wärmeversorgung für mehrere Gebäude - 
167,Robinson-Schule,Wönnichstr. 7,10317,Erdgas H,"762,189","87,950",
168,Vincent-van-Gogh-Schule,Wustrower Str. 22-24,13051,Fernwärme,"150,446","63,800",
169,Vincent-van-Gogh-Schule,Wustrower Str. 26,13051,Fernwärme,"993,389","92,066",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
170,Vincent-van-Gogh-Schule,Wustrower Str. 26,13051,Fernwärme,"436,935",-,Stromversorgung aus anderem Gebäude - 
171,Schule am Wäldchen,Wustrower Str. 28,13051,Fernwärme,-,"63,750",Wärmeversorgung aus anderem Gebäude - 
172,Stadion Friedrichsfelde,Zachertstr. 30-50,10315,Fernwärme,"287,369","40,989",
173,studio im HOCHHAUS Galerie,Zingster Str. 25,13051,-,-,"2,531",angemietet
174,Gebäude,Zu den Krugwiesen 10,13057,Fernwärme,"221,653","35,250",
175,Soziokulturelles Zentrum,Zum Hechtgraben 1,13051,Fernwärme,"797,693","59,458",Wärmeversorgung für mehrere Gebäude - 
,,,,Gesamt,,,
