Energieverbrauchsdaten der bezirklichen Abnahmestellen im Jahr 2018,,,,,,,
Lfd.-Nr.,Einrichtung,Straße,PLZ,Wärmemedium,Wärmeverbrauch witterungsbereinigt [kWh],Stromverbrauch [kWh],Bemerkungen
63,Kapelle,Gärtnerstr. 7,13053,-,-,1,
64,Revierstützpunkt,Gensinger Str. 105,10315,Fernwärme,"65,463","2,895",
65,Sporthalle,Gensinger Str. 56,10315,Fernwärme,"132,862","1,626",
66,Ausbildungsgebäude,Gotlindestr. 80,10365,Erdgas H,"78,858","4,103",
67,JFE,Grevesmühlener Str. 43,13059,Fernwärme,"56,215","6,108",
68,Bürogebäude,Große-Leege-Str. 103,13055,Fernwärme,"818,644","363,328",
69,Friedhof,Gudrunstr. 7-20,10365,Erdgas H,"318,624","12,952",
70,Schule auf dem lichten Berg,Hagenstr. 26,10365,Fernwärme,"98,601","16,451",
71,Hermann-Gmeiner-Schule,Harnackstr. 17,10365,Fernwärme,"851,595","31,700",Wärmeversorgung für mehrere Gebäude - 
72,Hermann-Gmeiner-Schule,Harnackstr. 25,10365,Fernwärme,-,"58,050",Wärmeversorgung aus anderem Gebäude - 
73,Sportfunktionsgebäude,Hauffstr. 13-20,10317,Erdgas H,"90,822","26,494",
74,Schule am Grünen Grund,Herzbergstr. 79,10365,Flüssiggas,"34,323","3,377",
75,Sportfunktionsgebäude,Hohenschönhauser Str. 76,10369,Flüssiggas,"50,089","2,045",
76,Schule im Gutspark,Josef-Orlopp-Str. 20,10367,Fernwärme,"341,704","78,855",
77,Seniorenfreizeitstätte,Judith - Auer - Straße 8,10369,-,-,"6,009",vermietet
78,Sporthalle,Klützer Str. 36,13059,Fernwärme,"340,023","10,459",
79,Manfred-von-Ardenne-Gymnasium,Konrad-Wolf-Str. 11,13055,Fernwärme,"62,938","1,260",Abriss in 2018
80,Kultur-Galerie,Konrad-Wolf-Straße 99,13055,-,-,"2,891",angemietet
81,Brunnen,"Otto-Marquardt-Str., Judith-Auer-Str. ",10369,-,-,"1,678",
82,Brunnen,Landsberger Allee 182 (203),10369,-,-,"4,450",
83,Brunnen,Landsberger Allee 277,13055,-,-,"2,017",
84,Manfred-von-Ardenne-Gymnasium,Leuenberger Str. 5,13055,Fernwärme,"166,400","8,238",
85,Brodowin-Schule,Liebenwalder Str. 22,13055,Fernwärme,"540,081","71,666",
86,Brodowin-Schule,Liebenwalder Str. 22,13055,Fernwärme,"138,434","33,511",
87,Revierstützpunkt,Liepnitzstr. 33-37,10318,Erdgas H,"52,512","3,251",
88,Friedrichsfelder Schule,Lincolnstr. 67,10315,Fernwärme,"323,643","69,000",
89,Karlshorster Schule,Lisztstr. 6,10318,Fernwärme,"454,537","84,602",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
90,Karlshorster Schule,Lisztstr. 6,10318,Fernwärme,"122,840","27,623",
91,Immanuel-Kant-Gymnasium,Lückstr. 63,10317,Fernwärme,"652,749","129,508",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
92,Grüner Campus Malchow,Malchower Chaussee 2,13053,Erdgas H,"322,666","58,925",
93,KiTa / Kirchengemeinde,Malchower Weg 46,13053,-,-,"21,165",vermietet
94,Paul-Schmidt-Schule,Malchower Weg 54,13053,Erdgas H,"966,832","36,899",
95,Jugendverkehrsschule,Malchower Weg 66,13053,Erdgas H,"54,819","2,235",
96,Alexander-Puschkin-Schule,Massower Str. 37,10315,Fernwärme,"795,187","97,900",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
97,Bürgermeister-Ziethen-Schule,Massower Str. 39,10315,Fernwärme,-,"58,950",Wärmeversorgung aus anderem Gebäude - Stromversorgung für mehrere Gebäude -  - 
98,Bürgermeister-Ziethen-Schule (MEB),Massower Str. 39,10315,Fernwärme,"62,079",-,Stromversorgung aus anderem Gebäude - 
99,KiTa,Mellenseestr. 65,10319,-,"197,910","48,283",
100,Notstromtrafo,Möllendorffstr. 5,10367,-,-,"2,346",
101,Bürogebäude,Möllendorffstr. 6,10367,Fernwärme,"457,926","121,994",
102,Vereinshaus,Neustrelitzer Straße 63,13055,Fernwärme,"60,759","8,175",
103,Sportfunktionsgebäude,Neustrelitzer Str. 61,13055,Fernwärme,"51,788","12,568",
104,Schule an der Victoriastadt,Nöldnerstr. 44,10317,Fernwärme,"633,615","103,950",
105,Bürgeramt ,Normannenstr. 1,10367,-,-,"36,676",angemietet
106,Mies-van-der-Rohe Haus,Oberseestr. 60,13053,Erdgas H,"66,623","3,832",
107,Seefilter,Oberseestraße 5,13053,-,-,"18,121",
108,Bürogebäude,Oberseestr. 98,13053,Erdgas H,"146,946","22,715",
109,Nils-Holgersson-Schule,Otto - Marquardt- Str. 14,10369,Fernwärme,"735,277","250,841",
110,Bürgeramt ,Otto-Schmirgal-Str. 1,10319,-,-,"28,047",angemietet
111,Schule,Paul-Junius-Str. 69,10369,Fernwärme,"95,529","11,720",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - Leerstand
112,Carl-von-Linné-Schule,Paul-Junius-Str. 15,10367,Fernwärme,"2,367,786","469,090",
113,Fil. Manfred-von-Ardenne-Gymnasium,Paul-Junius-Str. 25-27,10369,Fernwärme,"807,565","60,008",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
114,Sporthalle,Paul-Junius-Str. 25-27,10369,Fernwärme,"130,967",-,Stromversorgung aus anderem Gebäude - 
115,Margarete-Steffin-Volkshochschule,Paul-Junius-Str. 71,10369,Fernwärme,"468,667","74,367",
116,Brunnen,Anton-Saefkow-Platz/Fennpfuhl,10369,-,-,1,
117,Revierstützpunkt,Paul-Junius-Str. 73,10369,Fernwärme,"131,620","10,249",
118,Matibi-Schule,Prendener Str. 15,13059,Fernwärme,"467,277","425,110",Stromversorgung für mehrere Gebäude - 
119,Fritz-Reuter-Schule,Prendener Str. 29,13059,Fernwärme,"1,983,100",-,Stromversorgung aus anderem Gebäude - 
120,Anna-Seghers-Bibliothek,Prerower Platz 2,13051,-,-,"131,315",angemietet
121,Randow-Schule,Randowstr. 45,13057,Fernwärme,"457,520","58,700",
122,Schule am Rathaus,Rathausstr. 8 ,10367,Fernwärme,"503,511","74,760",
123,Sporthalle,Rhinstr. 127a,10315,Fernwärme,"175,043","18,289",
124,Sporthalle,Ribnitzer Str. 1,13051,Fernwärme,"110,387","18,508",
125,Soziokulturelles Zentrum,Ribnitzer Str. 1b,13051,Fernwärme,"86,850","54,052",
126,Hort,"Roedernstr. 13, 69-72",13053,-,-,52,Leerstand
127,Obersee-Schule,Roedernstr. 69-72,13053,Erdgas H,"444,239","95,750",
128,Lew-Tolstoi-Schule,Römerweg 120,10318,Erdgas H,"876,163","13,540",
129,Hans-und-Hilde-Coppi-Schule,Römerweg 30-32,10318,Fernwärme,"933,773","169,973",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
130,Brunnen,"Rotkamp 6 Y, Mühlengrund",13055,-,-,"11,759",
131,Fil. Paul-Schmidt-Schule,Rüdickenstr. 24,13053,Fernwärme,"264,480","35,628",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
132,33. Grundschule,Rüdigerstraße 76,10365,Fernwärme,"479,433","30,621",
133,MEB,Rüdigerstraße 76,10365,Fernwärme,"69,795","10,725",
134,Sporthalle,Rudolf-Seiffert-Str. 37,10369,Fernwärme,"151,079","27,884",
135,Fil. Bernhard-Grzimek-Schule/Fil. Alexander-Puschkin-Schule,Rummelsburger Str. 21,10319,Fernwärme,"293,437","12,465",
136,Seniorenbegegnungsstätte,Ruschestraße 43,10367,-,-,"6,186",vermietet
137,Zoschke-Stadion,Ruschestr. 90,10365,Erdgas H,"155,360","33,201",
138,Schule am Wilhelmsberg,Sandinostr. 8,13051,Fernwärme,-,"95,900",Wärmeversorgung aus anderem Gebäude - 
139,Schule am Wilhelmsberg,Sandinostr. 8,13051,Fernwärme,"159,414","24,476",
140,Gutenberg-Schule,Sandinostr. 10,13051,Fernwärme,"1,327,714","143,335",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
141,Gutenberg-Schule,Sandinostr. 10 (Landsberger Allee  ),13051,Fernwärme,"144,342","16,546",
142,"Stadion ""1. Mai""",Scheffelstr. 21,10367,Erdgas H,"135,610","23,978",
143,Revierstützpunkt,Schulze-Boysen-Str. 40,10365,Fernwärme,"89,208","4,691",
144,Mildred-Harnack-Schule,Schulze-Boysen Str. 12-20,10365,Fernwärme,"550,072","87,500",
145,Mildred-Harnack-Schule,Schulze-Boysen Str. 12-20,10365,Fernwärme,"458,180","48,000",
146,Kiezspinne e.V.,Schulze-Boysen-Str. 38,10365,-,-,"38,350",vermietet
147,Revierstützpunkt,Schwarzmeerstr. 57,10319,Erdgas H,"51,886","2,502",
148,Sporthalle,Seehausenerstr. 5,13057,Fernwärme,"236,687","26,695",keine Wärmemitversorgung mehr für JFE Welseclub
149,George-Orwell-Schule,Sewanstr. 223,10319,Fernwärme,"640,068","71,950",
150,Bernhard-Grzimek-Schule,Sewanstr. 184,10319,Fernwärme,"321,308","56,700",
151,Seniorenwohnheim ,Sewanstraße 235,10319,-,-,"2,968",vermietet
152,KULTSchule,Sewanstr. 43,10319,Fernwärme,"691,114","76,876",
153,Filiale Schule auf dem lichten Berg,Siegfriedstraße 208,10365,Erdgas H,"184,345","32,505",
154,BVB Stadion,Siegfriedstr. 71,10365,Erdgas H,"235,445","62,400",
155,Schule,Stolzenfelsstraße 1(Treskowallee 111),10318,-,-,"19,910",angemietet
156,Sportfunktionsgebäude,Storkower Str. 209 A,10369,Fernwärme,"61,166","21,529",
157,Fil. Matibi-Schule,Str. 3 Nr. 21,13059,Heizöl,"314,449","31,720",
158,Kultur-Galerie,Strausberger Straße 26 (Konrad-Wolf- Str. 99),13055,-,-,"3,139",angemietet
159,Mildred-Harnack-Schule,Tasdorfer Str. 45-46,10365,Fernwärme,"145,695","16,682",
160,Gartenarbeitsschule,Trautenauerstr. 40 (19),10318,Erdgas H,"168,104","11,943",
161,Kulturhaus Karlshorst,Treskowallee 112 (Dönhoffstraße 42),10318,-,-,"52,350",angemietet
162,Museum,Türrschmidtstr. 24-25,10317,Erdgas H,"192,350","29,750",
163,Seniorenbegegnungsstätte,Warnitzer Straße 06-08,13057,-,-,"4,345",vermietet
164,Sportfunktionsgebäude,"Wartenberger Str. 123, Am Breiten Luch 21",13053,Fernwärme,-,"19,265",Wärmeversorgung aus anderem Gebäude - 
165,Brunnen,Wartenbergerstraße 174 (Y) / Wustrower Str. 22,13053,-,-,"6,021",
166,Feldmark-Schule,Wartiner Str. 23,13057,Fernwärme,"985,291","113,385",
167,Fil. Feldmark-Schule/Fil. Barnim-Schule,Wartiner Str. 47-49,13057,Fernwärme,"301,550","18,210",
168,Sportplatz,Weißensseer Weg 100,10369,-,-,"1,090",
169,Sozialeinrichtung,Weitlingstr. 11,10317,Erdgas H,"69,508","4,091",
170,Sporthalle,Welsestr. 50,13057,Fernwärme,"155,660","9,661",
171,Manfred-von-Ardenne-Gymnasium,Werneuchener Str. 27,13053,Fernwärme,"791,275","124,081",
172,Philipp-Reis-Schule,Werneuchener Str. 14,13055,Fernwärme,-,"41,500",Wärmeversorgung aus anderem Gebäude - 
173,Philipp-Reis-Schule,Goeckestr. 35,13055,Fernwärme,-,"2,964",Wärmeversorgung aus anderem Gebäude - 
174,Philipp-Reis-Schule,Werneuchener Str. 15,13055,Fernwärme,"767,528","81,750",Wärmeversorgung für mehrere Gebäude - 
175,Robinson-Schule,Wönnichstr. 7,10317,Erdgas H,"928,257","85,500",
176,Vincent-van-Gogh-Schule,Wustrower Str. 22-24,13051,Fernwärme,"151,215","44,350",
177,Vincent-van-Gogh-Schule,Wustrower Str. 26,13051,Fernwärme,"1,098,533","77,022",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
178,Vincent-van-Gogh-Schule,Wustrower Str. 26,13051,Fernwärme,"520,058",-,Stromversorgung aus anderem Gebäude - 
179,Schule am Wäldchen,Wustrower Str. 28,13051,Fernwärme,-,"6,130",Wärmeversorgung aus anderem Gebäude - 
180,Stadion Friedrichsfelde,Zachertstr. 30-50,10315,Fernwärme,"311,380","38,636",
181,Studio,Zingster Straße 25,13051,-,-,"2,792",angemietet
182,Werkhof,Zu den Krugwiesen 10,13057,Fernwärme,"244,879","37,450",
183,Soziokulturelles Zentrum,Zum Hechtgraben 1,13051,Fernwärme,"845,225","76,568",
,,,,Gesamt,"48,710,903","8,388,330",
